concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
45889828		Procedure	CPT4	CPT4 Hierarchy	C	1014597	20141010	20991231	
45888186		Procedure	CPT4	CPT4 Hierarchy	C	1014598	20141010	20991231	
45887984		Procedure	CPT4	CPT4 Hierarchy	C	1014599	20141010	20991231	
45889594		Procedure	CPT4	CPT4 Hierarchy	C	1014600	20141010	20991231	
45888692		Procedure	CPT4	CPT4 Hierarchy	C	1014603	20141010	20991231	
45888522		Procedure	CPT4	CPT4 Hierarchy	C	1014604	20141010	20991231	
45889679		Procedure	CPT4	CPT4 Hierarchy	C	1014605	20141010	20991231	
45888188		Procedure	CPT4	CPT4 Hierarchy	C	1014606	20141010	20991231	
45888908		Procedure	CPT4	CPT4 Hierarchy	C	1014607	20141010	20991231	
45890336		Procedure	CPT4	CPT4 Hierarchy	C	1014608	20141010	20991231	
45889051		Procedure	CPT4	CPT4 Hierarchy	C	1014609	20141010	20991231	
45889680		Procedure	CPT4	CPT4 Hierarchy	C	1014610	20141010	20991231	
45888691		Procedure	CPT4	CPT4 Hierarchy	C	1014611	20141010	20991231	
45889831		Procedure	CPT4	CPT4 Hierarchy	C	1014612	20141010	20991231	
45888189		Procedure	CPT4	CPT4 Hierarchy	C	1014613	20141010	20991231	
45890230		Procedure	CPT4	CPT4 Hierarchy	C	1014614	20141010	20991231	
45888909		Procedure	CPT4	CPT4 Hierarchy	C	1014617	20141010	20991231	
45888881		Procedure	CPT4	CPT4 Hierarchy	C	1014620	20141010	20991231	
45889458		Procedure	CPT4	CPT4 Hierarchy	C	1014621	20141010	20991231	
45888248		Procedure	CPT4	CPT4 Hierarchy	C	1014622	20141010	20991231	
45890231		Procedure	CPT4	CPT4 Hierarchy	C	1014624	20141010	20991231	
45888728		Procedure	CPT4	CPT4 Hierarchy	C	1014625	20141010	20991231	
45889561		Procedure	CPT4	CPT4 Hierarchy	C	1014627	20141010	20991231	
45889459		Procedure	CPT4	CPT4 Hierarchy	C	1014629	20141010	20991231	
45887985		Procedure	CPT4	CPT4 Hierarchy	C	1014631	20141010	20991231	
45888384		Procedure	CPT4	CPT4 Hierarchy	C	1014635	20141010	20991231	
45889052		Procedure	CPT4	CPT4 Hierarchy	C	1014636	20141010	20991231	
45889771		Procedure	CPT4	CPT4 Hierarchy	C	1014638	20141010	20991231	
45887738		Procedure	CPT4	CPT4 Hierarchy	C	1014640	20141010	20991231	
45887993		Procedure	CPT4	CPT4 Hierarchy	C	1014644	20141010	20991231	
45888141		Procedure	CPT4	CPT4 Hierarchy	C	1014645	20141010	20991231	
45889002		Procedure	CPT4	CPT4 Hierarchy	C	1014646	20141010	20991231	
45889005		Procedure	CPT4	CPT4 Hierarchy	C	1014647	20141010	20991231	
45889785		Procedure	CPT4	CPT4 Hierarchy	C	1014648	20141010	20991231	
45887801		Observation	CPT4	CPT4 Hierarchy	C	1014649	20141010	20991231	
45889136		Procedure	CPT4	CPT4 Hierarchy	C	1014651	20141010	20991231	
45890100		Observation	CPT4	CPT4 Hierarchy	C	1014654	20141010	20180506	
45888210		Procedure	CPT4	CPT4 Hierarchy	C	1014671	20141010	20991231	
45890101		Procedure	CPT4	CPT4 Hierarchy	C	1014674	20141010	20991231	
45890400		Procedure	CPT4	CPT4 Hierarchy	C	1014679	20141010	20991231	
45889530		Procedure	CPT4	CPT4 Hierarchy	C	1014702	20141010	20991231	
45888483		Procedure	CPT4	CPT4 Hierarchy	C	1014706	20141010	20991231	
45888752		Procedure	CPT4	CPT4 Hierarchy	C	1014713	20141010	20991231	
45888211		Procedure	CPT4	CPT4 Hierarchy	C	1014742	20141010	20991231	
45887654		Procedure	CPT4	CPT4 Hierarchy	C	1014745	20141010	20991231	
45888753		Procedure	CPT4	CPT4 Hierarchy	C	1014752	20141010	20991231	
45890041		Procedure	CPT4	CPT4 Hierarchy	C	1014755	20141010	20991231	
45887975		Procedure	CPT4	CPT4 Hierarchy	C	1014777	20141010	20991231	
45888620		Procedure	CPT4	CPT4 Hierarchy	C	1014783	20141010	20991231	
45888972		Procedure	CPT4	CPT4 Hierarchy	C	1014792	20141010	20991231	
45887910		Procedure	CPT4	CPT4 Hierarchy	C	1014795	20141010	20991231	
45889367		Procedure	CPT4	CPT4 Hierarchy	C	1014812	20141010	20991231	
45889328		Procedure	CPT4	CPT4 Hierarchy	S	1014823	20141010	20150510	
45889329		Procedure	CPT4	CPT4 Hierarchy	S	1014835	20141010	20170507	
45888347		Procedure	CPT4	CPT4 Hierarchy	S	1014840	20141010	20170507	
45889330		Procedure	CPT4	CPT4 Hierarchy	C	1014843	20141010	20190505	
45890322		Procedure	CPT4	CPT4 Hierarchy	C	1014849	20141010	20991231	
45887795		Procedure	CPT4	CPT4 Hierarchy	C	1014859	20141010	20991231	
45888754		Procedure	CPT4	CPT4 Hierarchy	C	1014869	20141010	20991231	
45887655		Procedure	CPT4	CPT4 Hierarchy	C	1014877	20141010	20991231	
45888212		Procedure	CPT4	CPT4 Hierarchy	C	1014921	20141010	20991231	
45889331		Procedure	CPT4	CPT4 Hierarchy	C	1014937	20141010	20991231	
45888755		Procedure	CPT4	CPT4 Hierarchy	C	1014942	20141010	20991231	
45887796		Procedure	CPT4	CPT4 Hierarchy	C	1014946	20141010	20991231	
45888756		Procedure	CPT4	CPT4 Hierarchy	C	1014948	20141010	20991231	
45890102		Procedure	CPT4	CPT4 Hierarchy	C	1014951	20141010	20991231	
45889268		Procedure	CPT4	CPT4 Hierarchy	C	1014954	20141010	20991231	
45890038		Procedure	CPT4	CPT4 Hierarchy	C	1014956	20141010	20991231	
42628453		Procedure	CPT4	CPT4 Hierarchy	C	1014960	20170508	20991231	
42628068		Procedure	CPT4	CPT4 Hierarchy	C	1014961	20170508	20991231	
42628452		Observation	CPT4	CPT4 Hierarchy	C	1014962	20170508	20991231	
42628069		Procedure	CPT4	CPT4 Hierarchy	C	1014963	20170508	20991231	
42628549		Procedure	CPT4	CPT4 Hierarchy	C	1014964	20170508	20991231	
42628340		Procedure	CPT4	CPT4 Hierarchy	C	1014966	20170508	20991231	
42628341		Procedure	CPT4	CPT4 Hierarchy	C	1014967	20170508	20991231	
42628476		Procedure	CPT4	CPT4 Hierarchy	C	1014968	20170508	20991231	
42628697		Procedure	CPT4	CPT4 Hierarchy	C	1014969	20170508	20991231	
42628712		Procedure	CPT4	CPT4 Hierarchy	C	1014970	20170508	20991231	
42628077		Procedure	CPT4	CPT4 Hierarchy	C	1014971	20170508	20991231	
42628713		Procedure	CPT4	CPT4 Hierarchy	C	1014972	20170508	20230501	
42628560		Procedure	CPT4	CPT4 Hierarchy	C	1014973	20170508	20991231	
42628347		Observation	CPT4	CPT4 Hierarchy	C	1014974	20170508	20230501	
42628148		Observation	CPT4	CPT4 Hierarchy	C	1014975	20170508	20230501	
42628217		Procedure	CPT4	CPT4 Hierarchy	C	1014976	20170508	20230501	
42628572		Observation	CPT4	CPT4 Hierarchy	C	1014977	20170508	20230501	
42628336		Procedure	CPT4	CPT4 Hierarchy	C	1014978	20170508	20230501	
42628078		Procedure	CPT4	CPT4 Hierarchy	C	1014979	20170508	20230501	
42628149		Procedure	CPT4	CPT4 Hierarchy	C	1014980	20170508	20230501	
42628474		Observation	CPT4	CPT4 Hierarchy	C	1014981	20170508	20230501	
42628532		Observation	CPT4	CPT4 Hierarchy	C	1014982	20170508	20230501	
42628348		Observation	CPT4	CPT4 Hierarchy	C	1014983	20170508	20230501	
42628714		Procedure	CPT4	CPT4 Hierarchy	C	1014984	20170508	20230501	
42628542		Observation	CPT4	CPT4 Hierarchy	C	1014985	20170508	20230501	
42628698		Procedure	CPT4	CPT4 Hierarchy	C	1014986	20170508	20991231	
42628346		Procedure	CPT4	CPT4 Hierarchy	C	1014988	20170508	20991231	
42628710		Procedure	CPT4	CPT4 Hierarchy	C	1014989	20170508	20991231	
42628711		Procedure	CPT4	CPT4 Hierarchy	C	1014991	20170508	20991231	
42628213		Procedure	CPT4	CPT4 Hierarchy	C	1014992	20170508	20991231	
42628095		Observation	CPT4	CPT4 Hierarchy	C	1014993	20170508	20991231	
42628214		Procedure	CPT4	CPT4 Hierarchy	C	1014994	20170508	20991231	
42628709		Procedure	CPT4	CPT4 Hierarchy	C	1014996	20170508	20991231	
42628467		Procedure	CPT4	CPT4 Hierarchy	C	1014997	20170508	20991231	
42628518		Procedure	CPT4	CPT4 Hierarchy	C	1014998	20170508	20991231	
42628457		Procedure	CPT4	CPT4 Hierarchy	C	1014999	20170508	20991231	
42628211		Procedure	CPT4	CPT4 Hierarchy	C	1015001	20170508	20991231	
42628342		Procedure	CPT4	CPT4 Hierarchy	C	1015002	20170508	20991231	
42628070		Observation	CPT4	CPT4 Hierarchy	C	1015003	20170508	20991231	
42628702		Procedure	CPT4	CPT4 Hierarchy	C	1015004	20170508	20991231	
42628512		Procedure	CPT4	CPT4 Hierarchy	C	1015005	20170508	20991231	
42628703		Procedure	CPT4	CPT4 Hierarchy	C	1015006	20170508	20991231	
42628207		Procedure	CPT4	CPT4 Hierarchy	C	1015007	20170508	20991231	
42628704		Procedure	CPT4	CPT4 Hierarchy	C	1015008	20170508	20991231	
42628454		Procedure	CPT4	CPT4 Hierarchy	C	1015009	20170508	20991231	
42628226		Procedure	CPT4	CPT4 Hierarchy	C	1015011	20170508	20991231	
42628715		Procedure	CPT4	CPT4 Hierarchy	C	1015022	20170508	20991231	
42628218		Procedure	CPT4	CPT4 Hierarchy	C	1015023	20170508	20230501	
42628492		Observation	CPT4	CPT4 Hierarchy	C	1015024	20170508	20230501	
42628519		Observation	CPT4	CPT4 Hierarchy	C	1015026	20170508	20230501	
42628219		Procedure	CPT4	CPT4 Hierarchy	C	1015027	20170508	20230501	
42628493		Procedure	CPT4	CPT4 Hierarchy	C	1015028	20170508	20230501	
42628079		Procedure	CPT4	CPT4 Hierarchy	C	1015029	20170508	20230501	
42628349		Procedure	CPT4	CPT4 Hierarchy	C	1015030	20170508	20230501	
42628494		Observation	CPT4	CPT4 Hierarchy	C	1015031	20170508	20230501	
42628558		Procedure	CPT4	CPT4 Hierarchy	C	1015035	20170508	20991231	
42628559		Procedure	CPT4	CPT4 Hierarchy	C	1015036	20170508	20991231	
42628556		Procedure	CPT4	CPT4 Hierarchy	C	1015038	20170508	20991231	
42628212		Procedure	CPT4	CPT4 Hierarchy	C	1015040	20170508	20991231	
42628555		Procedure	CPT4	CPT4 Hierarchy	C	1015041	20170508	20991231	
42628074		Procedure	CPT4	CPT4 Hierarchy	C	1015042	20170508	20991231	
42628458		Procedure	CPT4	CPT4 Hierarchy	C	1015043	20170508	20991231	
42628208		Procedure	CPT4	CPT4 Hierarchy	C	1015045	20170508	20991231	
42628209		Procedure	CPT4	CPT4 Hierarchy	C	1015046	20170508	20991231	
45890508		Procedure	CPT4	CPT4 Hierarchy	C	1015054	20141010	20991231	
45889714		Procedure	CPT4	CPT4 Hierarchy	C	1015058	20141010	20991231	
45888970		Procedure	CPT4	CPT4 Hierarchy	C	1015062	20141010	20991231	
45890040		Procedure	CPT4	CPT4 Hierarchy	C	1015063	20141010	20991231	
45888608		Procedure	CPT4	CPT4 Hierarchy	C	1015064	20141010	20991231	
45890436		Procedure	CPT4	CPT4 Hierarchy	C	1015071	20141010	20991231	
45888977		Procedure	CPT4	CPT4 Hierarchy	C	1015079	20141010	20991231	
45889187		Procedure	CPT4	CPT4 Hierarchy	C	1015085	20141010	20991231	
45888106		Procedure	CPT4	CPT4 Hierarchy	C	1015086	20141010	20991231	
45888969		Procedure	CPT4	CPT4 Hierarchy	C	1015087	20141010	20991231	
45890039		Procedure	CPT4	CPT4 Hierarchy	C	1015088	20141010	20991231	
45890446		Procedure	CPT4	CPT4 Hierarchy	C	1015090	20141010	20991231	
45889766		Procedure	CPT4	CPT4 Hierarchy	C	1015091	20141010	20991231	
45890445		Procedure	CPT4	CPT4 Hierarchy	C	1015092	20141010	20991231	
45890444		Procedure	CPT4	CPT4 Hierarchy	C	1015093	20141010	20991231	
45888107		Procedure	CPT4	CPT4 Hierarchy	C	1015096	20141010	20991231	
45889042		Procedure	CPT4	CPT4 Hierarchy	C	1015098	20141010	20991231	
45887811		Procedure	CPT4	CPT4 Hierarchy	C	1015099	20141010	20991231	
45890447		Procedure	CPT4	CPT4 Hierarchy	C	1015100	20141010	20991231	
45888109		Observation	CPT4	CPT4 Hierarchy	C	1015101	20141010	20991231	
45890267		Procedure	CPT4	CPT4 Hierarchy	C	1015112	20141010	20230501	
45888719		Procedure	CPT4	CPT4 Hierarchy	C	1015115	20141010	20991231	
45889192		Procedure	CPT4	CPT4 Hierarchy	C	1015128	20141010	20991231	
45889332		Procedure	CPT4	CPT4 Hierarchy	C	1015129	20141010	20991231	
45890103		Procedure	CPT4	CPT4 Hierarchy	C	1015130	20141010	20991231	
2101887		Observation	CPT4	CPT4	S	1015F	20070703	20991231	
2101888		Procedure	CPT4	CPT4	S	10160	19700101	20991231	
2101889		Procedure	CPT4	CPT4	S	10180	19700101	20991231	
45888069		Procedure	CPT4	CPT4 Hierarchy	C	1018122	20141010	20991231	
45890358		Procedure	CPT4	CPT4 Hierarchy	C	1018123	20141010	20991231	
45888710		Procedure	CPT4	CPT4 Hierarchy	C	1018124	20141010	20991231	
45889705		Procedure	CPT4	CPT4 Hierarchy	C	1018125	20141010	20991231	
45889707		Procedure	CPT4	CPT4 Hierarchy	C	1018126	20141010	20991231	
45890364		Procedure	CPT4	CPT4 Hierarchy	C	1018127	20141010	20991231	
45889710		Procedure	CPT4	CPT4 Hierarchy	C	1018128	20141010	20991231	
45890366		Procedure	CPT4	CPT4 Hierarchy	C	1018129	20141010	20991231	
45888448		Procedure	CPT4	CPT4 Hierarchy	C	1018141	20141010	20991231	
45889645		Procedure	CPT4	CPT4 Hierarchy	C	1018142	20141010	20991231	
45889930		Procedure	CPT4	CPT4 Hierarchy	C	1018143	20141010	20991231	
45888452		Procedure	CPT4	CPT4 Hierarchy	C	1018145	20141010	20991231	
45889936		Procedure	CPT4	CPT4 Hierarchy	C	1018147	20141010	20991231	
45889777		Procedure	CPT4	CPT4 Hierarchy	C	1018148	20141010	20991231	
45888358		Procedure	CPT4	CPT4 Hierarchy	C	1018149	20141010	20991231	
45890377		Procedure	CPT4	CPT4 Hierarchy	C	1018150	20141010	20991231	
45888853		Procedure	CPT4	CPT4 Hierarchy	C	1018151	20141010	20991231	
45888359		Procedure	CPT4	CPT4 Hierarchy	C	1018152	20141010	20991231	
45889778		Procedure	CPT4	CPT4 Hierarchy	C	1018154	20141010	20991231	
45888137		Procedure	CPT4	CPT4 Hierarchy	C	1018155	20141010	20991231	
45890388		Procedure	CPT4	CPT4 Hierarchy	C	1018161	20141010	20991231	
45890514		Procedure	CPT4	CPT4 Hierarchy	C	1018162	20141010	20991231	
45888583		Procedure	CPT4	CPT4 Hierarchy	C	1018163	20141010	20991231	
45888469		Procedure	CPT4	CPT4 Hierarchy	C	1018164	20141010	20991231	
45889644		Procedure	CPT4	CPT4 Hierarchy	C	1018165	20141010	20991231	
45887685		Procedure	CPT4	CPT4 Hierarchy	C	1018166	20141010	20991231	
45888704		Procedure	CPT4	CPT4 Hierarchy	C	1018167	20141010	20991231	
45890415		Procedure	CPT4	CPT4 Hierarchy	C	1018168	20141010	20991231	
45889490		Procedure	CPT4	CPT4 Hierarchy	C	1018169	20141010	20991231	
45888080		Observation	CPT4	CPT4 Hierarchy	C	1018170	20141010	20991231	
45889181		Procedure	CPT4	CPT4 Hierarchy	C	1018171	20141010	20991231	
45889673		Procedure	CPT4	CPT4 Hierarchy	C	1018172	20141010	20991231	
45889333		Measurement	CPT4	CPT4 Hierarchy	C	1018174	20141010	20230501	
45888724		Measurement	CPT4	CPT4 Hierarchy	C	1018176	20141010	20230501	
45888757		Measurement	CPT4	CPT4 Hierarchy	C	1018177	20141010	20230501	
45887684		Procedure	CPT4	CPT4 Hierarchy	C	1018188	20141010	20991231	
45888108		Procedure	CPT4	CPT4 Hierarchy	C	1018228	20141010	20991231	
45888213		Procedure	CPT4	CPT4 Hierarchy	C	1018229	20141010	20991231	
45888549		Procedure	CPT4	CPT4 Hierarchy	C	1018230	20141010	20991231	
45889148		Procedure	CPT4	CPT4 Hierarchy	C	1018231	20141010	20991231	
45890361		Procedure	CPT4	CPT4 Hierarchy	C	1018232	20141010	20991231	
45888414		Procedure	CPT4	CPT4 Hierarchy	C	1018233	20141010	20991231	
45889159		Procedure	CPT4	CPT4 Hierarchy	C	1018234	20141010	20991231	
45888060		Procedure	CPT4	CPT4 Hierarchy	C	1018235	20141010	20991231	
45889938		Procedure	CPT4	CPT4 Hierarchy	C	1018236	20141010	20991231	
45887743		Procedure	CPT4	CPT4 Hierarchy	C	1018481	20141010	20991231	
45889013		Procedure	CPT4	CPT4 Hierarchy	C	1018482	20141010	20991231	
45889795		Procedure	CPT4	CPT4 Hierarchy	C	1018483	20141010	20991231	
45888602		Procedure	CPT4	CPT4 Hierarchy	C	1018484	20141010	20991231	
45888148		Procedure	CPT4	CPT4 Hierarchy	C	1018485	20141010	20991231	
45888419		Procedure	CPT4	CPT4 Hierarchy	C	1018486	20141010	20991231	
45890261		Procedure	CPT4	CPT4 Hierarchy	C	1018487	20141010	20991231	
45889796		Procedure	CPT4	CPT4 Hierarchy	C	1018488	20141010	20991231	
45890255		Procedure	CPT4	CPT4 Hierarchy	C	1018489	20141010	20991231	
45889554		Procedure	CPT4	CPT4 Hierarchy	C	1018490	20141010	20991231	
45888149		Procedure	CPT4	CPT4 Hierarchy	C	1018491	20141010	20991231	
45889555		Procedure	CPT4	CPT4 Hierarchy	C	1018492	20141010	20991231	
45888214		Procedure	CPT4	CPT4 Hierarchy	C	1018493	20141010	20991231	
45888758		Procedure	CPT4	CPT4 Hierarchy	C	1018494	20141010	20991231	
45888690		Procedure	CPT4	CPT4 Hierarchy	C	1018495	20141010	20991231	
45890104		Procedure	CPT4	CPT4 Hierarchy	C	1018497	20141010	20230501	
45888151		Observation	CPT4	CPT4 Hierarchy	C	1018498	20141010	20991231	
45888150		Observation	CPT4	CPT4 Hierarchy	C	1018499	20141010	20991231	
45889797		Procedure	CPT4	CPT4 Hierarchy	C	1018500	20141010	20991231	
45888152		Procedure	CPT4	CPT4 Hierarchy	C	1018501	20141010	20991231	
45888489		Procedure	CPT4	CPT4 Hierarchy	C	1018502	20141010	20991231	
45889799		Observation	CPT4	CPT4 Hierarchy	C	1018503	20141010	20991231	
45888153		Observation	CPT4	CPT4 Hierarchy	C	1018504	20141010	20991231	
45887744		Observation	CPT4	CPT4 Hierarchy	C	1018505	20141010	20991231	
45889008		Procedure	CPT4	CPT4 Hierarchy	C	1018506	20141010	20991231	
45889557		Procedure	CPT4	CPT4 Hierarchy	C	1018507	20141010	20991231	
45887797		Procedure	CPT4	CPT4 Hierarchy	C	1018508	20141010	20991231	
45888123		Procedure	CPT4	CPT4 Hierarchy	C	1018509	20141010	20991231	
45890105		Observation	CPT4	CPT4 Hierarchy	C	1018510	20141010	20991231	
45890262		Procedure	CPT4	CPT4 Hierarchy	C	1018511	20141010	20991231	
45887798		Procedure	CPT4	CPT4 Hierarchy	C	1018512	20141010	20230501	
45887656		Procedure	CPT4	CPT4 Hierarchy	C	1018513	20141010	20991231	
45888215		Procedure	CPT4	CPT4 Hierarchy	C	1018514	20141010	20991231	
45888759		Observation	CPT4	CPT4 Hierarchy	C	1018515	20141010	20991231	
45888760		Procedure	CPT4	CPT4 Hierarchy	C	1018516	20141010	20991231	
45887657		Procedure	CPT4	CPT4 Hierarchy	C	1018517	20141010	20991231	
45888147		Procedure	CPT4	CPT4 Hierarchy	C	1018519	20141010	20991231	
45889553		Procedure	CPT4	CPT4 Hierarchy	C	1018520	20141010	20991231	
45889793		Procedure	CPT4	CPT4 Hierarchy	C	1018521	20141010	20991231	
45889794		Procedure	CPT4	CPT4 Hierarchy	C	1018522	20141010	20991231	
45887799		Procedure	CPT4	CPT4 Hierarchy	C	1018523	20141010	20991231	
45889275		Procedure	CPT4	CPT4 Hierarchy	C	1018524	20141010	20991231	
45890106		Procedure	CPT4	CPT4 Hierarchy	C	1018543	20141010	20991231	
45888216		Procedure	CPT4	CPT4 Hierarchy	C	1018544	20141010	20991231	
45890107		Procedure	CPT4	CPT4 Hierarchy	C	1018545	20141010	20991231	
45889531		Procedure	CPT4	CPT4 Hierarchy	C	1018546	20141010	20991231	
45888761		Procedure	CPT4	CPT4 Hierarchy	C	1018548	20141010	20230501	
45888762		Procedure	CPT4	CPT4 Hierarchy	S	1018549	20141010	20170507	
45890289		Procedure	CPT4	CPT4 Hierarchy	C	1018551	20141010	20180506	
2101890		Observation	CPT4	CPT4	S	1018F	20070703	20991231	
45888491		Procedure	CPT4	CPT4 Hierarchy	C	1019020	20141010	20991231	
